timestamp,open,high,low,close,adjusted close,volume,dividend amount
2011-03-18,161.1600,161.9804,151.7100,155.8900,87.6374,41798000,0.0000
2011-03-11,161.6000,167.7200,158.8500,162.4300,91.3140,31095800,0.0000
2011-03-04,162.3600,164.3100,159.4100,161.8300,90.9767,21537300,0.0000
2011-02-25,163.5700,164.2600,159.0300,162.2800,91.2296,21433300,0.0000
2011-02-18,164.1800,164.8400,162.5200,164.8400,92.6688,18590000,0.0000
2011-02-11,164.0800,166.2500,163.1800,163.8500,92.1123,26097300,0.6500
2011-02-04,159.1800,164.2000,158.6800,164.0000,91.8371,25371100,0.0000
2011-01-28,155.4200,164.3500,155.3300,159.2100,89.1548,32502900,0.0000
2011-01-21,149.8200,156.7800,149.3800,155.5000,87.0772,35766800,0.0000
2011-01-14,147.5800,150.0000,146.7500,150.0000,83.9973,19878500,0.0000
2011-01-07,147.2100,148.8600,146.6400,147.9300,82.8382,23486200,0.0000
2010-12-31,145.1200,147.5000,145.0000,146.7600,82.1830,14684300,0.0000
2010-12-23,145.3900,146.4000,144.3300,145.8900,81.6958,13585400,0.0000
2010-12-17,145.1400,146.0100,144.1500,145.0000,81.1974,28194800,0.0000
2010-12-10,144.5400,146.2999,143.5200,144.8200,81.0966,21020900,0.0000
2010-12-03,143.5300,145.8500,141.2800,145.3800,81.4102,28622500,0.0000
2010-11-26,144.0000,146.4400,142.3300,143.9000,80.5814,15256400,0.0000
2010-11-19,143.8900,145.3500,141.1800,145.0500,81.2254,24207800,0.0000
2010-11-12,145.3500,147.5300,143.3500,143.7400,80.4919,24816000,0.6500
2010-11-05,143.6400,146.9300,142.3200,146.9200,81.9091,27101400,0.0000
2010-10-29,140.4200,144.0000,138.5300,143.6000,80.0581,32583300,0.0000
2010-10-22,140.9000,143.0300,136.7000,139.6700,77.8671,41753800,0.0000
2010-10-15,138.7900,142.1000,138.2700,141.0600,78.6421,31299400,0.0000
2010-10-08,135.2300,139.0900,134.3900,138.8500,77.4100,26027000,0.0000
2010-10-01,133.5100,136.2800,133.5100,135.6400,75.6204,30834900,0.0000
2010-09-24,130.2400,134.1500,130.1100,134.1100,74.7674,28357000,0.0000
2010-09-17,128.6300,130.6000,128.4300,130.1900,72.5820,29966700,0.0000
2010-09-10,126.9900,128.2900,125.3900,127.9900,71.3554,16686200,0.0000
2010-09-03,125.0800,127.6000,122.2800,127.5800,71.1269,25097500,0.0000
2010-08-27,127.5700,128.0300,122.4200,124.7300,69.5380,28851700,0.0000
